State,Population
Uttar Pradesh,237095024
Maharashtra,128466921
Bihar,126750326
West Bengal,102741588
Andhra Pradesh,53206421
Madhya Pradesh,86044251
Tamil Nadu,82722262
Rajasthan,79536709
Karnataka,70462375
Gujarat,71521926
Odisha,47439243
Kerala,35122966
Telangana,35193978
Jharkhand,32966238
Assam,31169272
Punjab,31254208
Haryana,29808027
Chhattisgarh,25540196
Uttarakhand,10116752
Himachal Pradesh,7663167
Tripura,3671032
Meghalaya,2964007
Manipur,2721756
Nagaland,1980602
Goa,1457723
Arunachal Pradesh,1382611
Mizoram,1091014
Sikkim,658361
Delhi,20188648
Puducherry,1244464
Chandigarh,1545116
Andaman and Nicobar Islands,379944
Dadra and Nagar Haveli and Daman and Diu,585764
Lakshadweep,64429
Jammu and Kashmir,14849410
Ladakh,274289
India,1350590492
